id,term,category,definition,aliases
term.promissory_note_vs_loan_agreement,Promissory Note vs. Loan Agreement,Legal&Docs,"A Promissory Note is much simpler than a loan agreement. It only includes the basic details — who is borrowing, how much, and when they will repay. There are usually no additional terms, such as penalties for late payments or collateral requirements. A Loan Agreement, on the other hand, is more detailed and often involves lawyers. It can include clauses about what happens if the borrower defaults, whether there is collateral and other legal protections for the lender. Because of this, Promissory Notes are better suited for smaller or straightforward loans, while loan agreements work better for complex or high-value lending.  Source: Promissory Note  https://www.99.co/singapore/glossary/promissory-note/  (index: Promissory Note)",PNLA
term.what_happens_if_the_borrower_doesn_t_pay,What happens if the borrower doesn’t pay,Other,"If the borrower fails to repay the loan, the lender has legal options. In Singapore, the course of action depends on the amount owed: • If the loan is SGD 20,000 or less, the lender can file a claim with the Small Claims Tribunal. This is usually the fastest and most cost-effective way to recover the money. • If the amount is higher, the case may need to go through the State Courts or High Court, depending on the size of the claim. For businesses, failing to honour a promissory note can also damage their credit rating and make it harder to get financing in the future. In extreme cases, the company could even face insolvency proceedings.  Source: Promissory Note  https://www.99.co/singapore/glossary/promissory-note/  (index: Promissory Note)",
term.why_a_well_drafted_promissory_note_matters_in_real_estate,Why a well-drafted Promissory Note matters in real estate,Legal&Docs,"Real estate transactions involve large sums of money, so a poorly written promissory note can lead to serious financial and legal risks. Ambiguous terms, missing repayment details, or unclear interest rates can result in disputes, making it harder to enforce the agreement. For smaller, straightforward transactions — such as a short-term private loan for a down payment — a simple promissory note may work. But for larger property investments, it’s best to seek legal advice to ensure the document is properly structured.  Source: Promissory Note  https://www.99.co/singapore/glossary/promissory-note/  (index: Promissory Note)",WPN
term.mop_in_hdb,MOP in HDB,HDB,"The Minimum Occupation Period (MOP), is the amount of time you must occupy an HDB apartment before reselling it. The MOP today is five years and it starts as soon as you take your keys from HDB. This implies that you cannot sell your HDB flats until you have occupied them for at least five years.  Source: MOP – What is MOP in HDB  https://www.99.co/singapore/glossary/mop-in-hdb/  (index: MOP – What is MOP in HDB)",What is MOP in HDB?|MOP
term.key_things_i_should_know_about_mop_in_hdb,key things I should know about MOP in HDB,HDB,"If you can’t live in your flat, you can request HDB’s approval to rent out the entire unit. However, this will extend the duration of your MOP. For instance, if you move overseas for study or employment purposes during MOP and are given permission to rent out your whole apartment, your MOP will also be extended for two years. Nevertheless, you can leave the flat empty without having to factor in the time as long as the period of vacancy is acceptable. This means you don’t have to worry about going on vacation. The Proximity Housing Grant (PHG), which was introduced in 2015, encourages families to live together or close by. Families are eligible for discounts of S$30,000 or S$20,000 when buying a resale flat if they live close to one another or within a 4-kilometre radius, respectively. Your parents would have to remain in the same area (within 4 km of your flat) for the length of your MOP if you bought a resale apartment close to their current apartment. If they choose to sell their property, they must relocate within a 4-kilometre radius of your HDB apartment. This will ensure families live close to one another and for the grant’s goals to be met. Similar to the PHG, the Married Child Priority Scheme (MCPS) enables newlywed couples to receive extra precedence for BTO flat allocations if they relocate within 4 kilometres of their parent’s home. If you used the MCPS to apply for your BTO flat, your parents who helped you qualify for the programme must stay within 4 km of your new apartment for the length of your MOP. 3Gen flats, a new flat type established in 2013, are the second-largest flat type after Executive Flats. Apart from being somewhat bigger than 5-room HDB apartments, the main difference between the two is that 3Gen flats feature two master bedroom suites, whilst 5-room flats only have one. While regular HDB flats can rent a room out during MOP, 3Gen apartments cannot do that. This means that 3Gen homeowners will not be able to rent a room out in their unit during the five-year MOP period.  Source: MOP – What is MOP in HDB  https://www.99.co/singapore/glossary/mop-in-hdb/  (index: MOP – What is MOP in HDB)",What are the key things I should know about MOP in HDB?|MOP
term.sub_sale_properties,sub-sale properties,Other,"To put it simply, a sub-sale property occurs when the initial buyer of a new launch property opts to sell it to another buyer before the construction of the unit is completed.  Source: Sub-sale properties  https://www.99.co/singapore/glossary/sub-sale-properties/  (index: Sub-sale properties)",What are sub-sale properties?
term.difference_between_sub_sale_properties_and_resale_properties,difference between sub-sale properties and resale properties,Other,"As mentioned previously, sub-sale properties involve transactions where a buyer of a new development chooses to sell the unit to another buyer before the development is completed or before the issuance of all necessary certificates. In contrast to resale properties, sub-sales also entail the participation of three parties: • The original buyer (or seller). • The buyer of the sub-sale property (or sub-purchaser). • The developer. This three-party involvement sets sub-sales apart from the more straightforward resale property transactions where the seller simply puts a completed unit up for sale.  Source: Sub-sale properties  https://www.99.co/singapore/glossary/sub-sale-properties/  (index: Sub-sale properties)",What is the difference between sub-sale properties and resale properties?
term.how_do_sub_sale_properties_function,How do sub-sale properties function,Other,"Once the sub-purchaser signs the S&PA, they will receive the keys to the unit upon completion. Here’s the typical sequence of a sub-sale property: The information provided was accurate at the time of publication. For the latest changes and updates, head over to the official websites.  Source: Sub-sale properties  https://www.99.co/singapore/glossary/sub-sale-properties/  (index: Sub-sale properties)",
term.condos_near_mrt,condos near MRT,Other,"Condos near MRT stations refer to condominiums or apartment complexes located in close proximity to Mass Rapid Transit (MRT) stations in Singapore. These residential properties offer several advantages to residents, making them highly sought after in the real estate market.  Source: Condos near MRT  https://www.99.co/singapore/glossary/condos-near-mrt/  (index: Condos near MRT)",What are condos near MRT?|MRT
term.advantages_and_disadvantages_of_condos_near_mrt,advantages and disadvantages of condos near MRT,Other,"Advantages of condos near MRT MRT stations serve as transportation hubs, allowing residents to access various parts of Singapore quickly and conveniently. This connectivity makes daily commuting more efficient, reducing travel time and providing residents greater flexibility in their schedules. Moreover, MRTs are well-integrated with other forms of public transportation, including buses, ensuring seamless connectivity throughout the city-state. Condos near MRTs tend to attract tenants due to their convenient location and accessibility. The high demand for rental properties in such areas can result in competitive rental prices and a steady stream of potential tenants. This can translate into attractive rental returns for property owners, making it an appealing investment option. The strategic location of these properties makes them highly desirable to homebuyers and investors. As a result, property values in these areas have shown a history of steady growth. This price appreciation can benefit homeowners, offering potential capital gains and wealth accumulation over the long term.  Source: Condos near MRT  https://www.99.co/singapore/glossary/condos-near-mrt/  (index: Condos near MRT)",What are the advantages and disadvantages of condos near MRT?|MRT
term.disadvantages_of_condos_near_mrt,Disadvantages of condos near MRT,Other,"Due to their location, condos near MRTs may have a higher price tag than properties in less central or remote areas. Affordability can be challenging for some individuals or families seeking to purchase a property in these highly sought-after locations. Living near an MRT station means residents may experience increased foot traffic, vehicle noise, or construction activities in the surrounding area. While advancements in design and soundproofing have mitigated these issues to some extent, assessing the potential impact on personal comfort and lifestyle preferences is still important.  Source: Condos near MRT  https://www.99.co/singapore/glossary/condos-near-mrt/  (index: Condos near MRT)",MRT
term.a_condominium_complex,a condominium complex,PropertyType,"In Singapore and Malaysia, “Condo” or “Condominium” refer to residential buildings with particular luxury facilities such as security guards, swimming pools, or tennis courts. A condo is a housing or residential complex comprising individual units owned and rented out by different people. Condo owners are responsible for what happens in their units, including maintenance and repairs. They must also pay monthly fees to the Management Corporation Strata Title (MCST). The MCST is an organisation responsible for maintaining, repairing, and managing shared areas such as the building’s facade, swimming pool, gym, and common areas.  Source: Condominium Complex  https://www.99.co/singapore/glossary/condominium-complex/  (index: Condominium Complex)",What is a condominium complex?
term.condominium_vs_apartment_what_s_the_difference,Condominium vs apartment – What’s the difference,HDB,"The terms “condominium” and “apartment” are often used interchangeably but refer to different housing types. Condominiums are popular for those seeking private housing without the high cost or maintenance of landed properties. They offer a range of recreational facilities, such as swimming pools, gyms, and sometimes tennis courts, basketball courts, and well-manicured gardens. On the other hand, apartments are smaller buildings with fewer shared amenities. While more expensive than HDB flats, they are more affordable than landed property and condominiums.  Source: Condominium Complex  https://www.99.co/singapore/glossary/condominium-complex/  (index: Condominium Complex)",CW
term.advantages_and_disadvantages_of_condominium_complexes_in_singapore,Advantages and disadvantages of condominium complexes in Singapore,Other,[HEADING-H3] Advantages [HEADING-H3] Disadvantages  Source: Condominium Complex  https://www.99.co/singapore/glossary/condominium-complex/  (index: Condominium Complex),AS
term.definition_of_inflation,Definition of inflation,Other,"Inflation, the rate at which the general level of prices for goods and services is rising, has a significant impact on the real estate market. It influences property prices, rental rates, and investment returns.  Source: Inflation  https://www.99.co/singapore/glossary/the-impact-of-inflation-on-real-estate/  (index: Inflation)",
term.understanding_inflation,Understanding inflation,Other,"Inflation is primarily caused by an increase in the supply of money, which leads to a decrease in the purchasing power of money. This means that each unit of currency buys fewer goods and services, which is reflected in the increased prices of these goods and services. Central banks attempt to limit inflation, and avoid deflation, in order to keep the economy running smoothly. They do this by adjusting monetary policy, including setting interest rates and controlling the money supply. If inflation is too high, the central bank may increase interest rates to slow down the economy and reduce inflation. Conversely, if inflation is too low or if there is deflation (a decrease in the general price level), the central bank may lower interest rates to stimulate the economy.  Source: Inflation  https://www.99.co/singapore/glossary/the-impact-of-inflation-on-real-estate/  (index: Inflation)",
term.importance_of_inflation_in_real_estate,Importance of inflation in real estate,Other,"Inflation can lead to higher property prices over time, as the cost of materials and labor for construction increases. This can result in higher rental rates, as landlords seek to maintain their profit margins. However, for investors, inflation can erode the real value of rental income and capital gains unless these returns increase at a rate that’s higher than inflation. Although inflation is generally thought of as a negative, it can also have positive effects on the economy. The negative effects include a decrease in the purchasing power of money, which means that people can buy less with the same amount of money. This can be particularly harmful for people with fixed incomes, such as retirees, as their income does not increase with inflation. [HEADING-H3] Conclusion Inflation plays a significant role in the real estate market, influencing property prices, rental rates, and the real value of investment returns. Understanding its impact can help investors make informed decisions and navigate market fluctuations. On the positive side, inflation can help reduce the real burden of debt. This is because the value of the debt decreases in real terms as the general price level increases. Inflation can also stimulate economic growth by encouraging spending and investment. This is because people are likely to spend and invest money when they expect prices to rise in the future.  Source: Inflation  https://www.99.co/singapore/glossary/the-impact-of-inflation-on-real-estate/  (index: Inflation)",
term.subletting_in_singapore,subletting in Singapore,Other,"Subletting, often referred to as subleasing, is the practice where a tenant rents out a part or the entire property they are leasing to a third party for a specified period, usually shorter than the original lease term. In Singapore’s dense urban environment, subletting is a prevalent practice, especially among those looking for short-term accommodation or wanting to optimize rental costs. However, it’s essential to understand the legalities and implications involved.  Source: Subletting  https://www.99.co/singapore/glossary/subletting/  (index: Subletting)",What is subletting in Singapore?
term.role_of_subletting_in_singapore_s_rental_market,role of subletting in Singapore’s rental market,Other,"• Flexibility: Subletting offers flexibility to tenants who might need to relocate temporarily or those who find the rented space more than their requirement. • Economic benefits: For original tenants, subletting can provide an additional income stream, helping them offset their rental expenses. For subtenants, it can offer more affordable housing options in prime areas. • Short-term solutions: Tourists, students, or professionals on short-term assignments often look for subletting options as they are more convenient and less binding than traditional leases.  Source: Subletting  https://www.99.co/singapore/glossary/subletting/  (index: Subletting)",What is the role of subletting in Singapore’s rental market?
term.what_regulations_govern_subletting_in_singapore,What regulations govern subletting in Singapore,HDB,"• HDB flats: The Housing & Development Board (HDB) has specific guidelines for subletting. For instance, Singapore citizens can sublet their entire HDB flat after fulfilling a Minimum Occupation Period (MOP). However, there are restrictions on subletting to foreigners. • Private properties: For private properties, the terms of subletting are usually dictated by the original lease agreement. It’s crucial to obtain the landlord’s consent before subletting. Subletting without proper permissions can lead to legal consequences, including eviction or fines.  Source: Subletting  https://www.99.co/singapore/glossary/subletting/  (index: Subletting)",WS
term.what_should_you_consider_before_subletting,What should you consider before subletting,Legal&Docs,"• Contractual terms: Both the original tenant and the subtenant should have a clear subletting agreement, outlining terms like rent, duration, and responsibilities. • Liabilities: The primary tenant remains responsible for any damages or unpaid rents. It’s essential to ensure that subtenants are reliable. • Communication: Keeping open communication with the landlord is crucial. Any issues or changes regarding the sublet should be promptly discussed.  Source: Subletting  https://www.99.co/singapore/glossary/subletting/  (index: Subletting)",
term.future_of_subletting_in_singapore,future of subletting in Singapore,Other,"• Digital platforms: With the rise of platforms like Airbnb, the concept of subletting is expanding to include short-term holiday rentals, transforming how spaces are rented in Singapore. • Co-living spaces: The trend of co-living, where individuals rent shared spaces in larger apartments or homes, can be seen as a modern iteration of subletting, catering to the millennial and Gen Z demographic. • Regulatory changes: As the rental market evolves, there might be new regulations and guidelines to ensure that subletting practices are fair, transparent, and in line with Singapore’s urban planning goals.  Source: Subletting  https://www.99.co/singapore/glossary/subletting/  (index: Subletting)",What is the future of subletting in Singapore?
term.the_mortgage_point_of_no_return_when_your_loan_gets_consummated,The Mortgage point of no return: When your loan gets consummated,Finance&Rates,"The mortgage process can seem long and complicated, with many steps along the way before you can finally close on your new home. But there’s one point of no return: loan consummation. Once your mortgage loan is consummated, the lender and borrower are legally bound to the loan terms and the loan can no longer be changed – even if market rates suddenly shift. So it’s important to understand what consummation is and when it happens. [HEADING-H3] What is loan consummation? Consummation occurs after you’ve completed all the steps in the mortgage process leading up to closing. This includes submitting your loan application and supporting documents, undergoing underwriting, receiving loan approval, locking in an interest rate, and signing your closing disclosure paperwork. Legally, consummation happens when three key criteria have been met: • You have signed a closing disclosure statement confirming the terms of your mortgage loan. This is typically signed at least 3 days before closing. • You have authorized the lender to disburse the mortgage funds and close the loan. This authorization is given at closing when you sign the final loan documents. • The lender has transferred the mortgage funds to the closing agent or settlement company managing the real estate transaction. This wire transfer of funds usually happens on the morning of closing day. Once all three conditions are met, your loan is considered consummated under federal law. [HEADING-H3] When does consummation occur? For most homebuyers, loan consummation aligns with the closing date on their real estate purchase. This is when you sit down to sign the final loan documents and get the keys to your new property. The three legal conditions of consummation described above have all been satisfied at this point. However, your loan can be considered consummated before the closing date if the lender disburses the funds earlier. Some lenders will wire the money 1-2 days before accommodating weekend or holiday closings. As soon as the lender releases the funds, your loan is consummated. [HEADING-H3] Why consummation matters Consummation represents the point of no return for your mortgage loan. At this milestone, you could still walk away from the deal or request changes to the loan terms if circumstances warranted it. But after consummation, you are legally obligated to the mortgage contract and generally cannot make changes. This matters most when it comes to interest rates. Let’s say your lender locked in an interest rate of 5% for your loan 30 days before closing. But mortgage rates drop significantly during those 30 days, falling to 4.5%. You might want to get that lower rate. However, if your loan has already been consummated at the higher 5% rate, it’s too late to change it. You’re stuck with the originally agreed-upon terms. The point of consummation takes the mortgage process across the finish line. Ensure you understand when it happens so you can take any last-minute actions and lock in the optimal loan terms. Once consummated, your mortgage is set in stone.  Source: Consummation  https://www.99.co/singapore/glossary/consummation-singapore/  (index: Consummation)",TMW
term.know_the_different_auction_types,Know the different auction types,Other,"There are four main real estate auctions: minimum bid, reserve price, absolute, and hybrid. A minimum bid auction means the opening bid is very low to attract interest. Reserve price auctions have a minimum price set by the seller. An absolute auction requires the property to sell regardless of price and a hybrid combines aspects of multiple auction types. Understanding the format is key to strategizing.  Source: Real estate auction  https://www.99.co/singapore/glossary/real-estate-auction/  (index: Real estate auction)",
term.set_your_maximum_budget,Set your maximum budget,Other,"It’s essential to determine your maximum budget and stick to it before bidding, including estimated renovation costs and fees. Auctions can get emotional and competitive, so knowing your limit prevents overbidding. You can expand your budget range for absolute auctions where there is no minimum price.  Source: Real estate auction  https://www.99.co/singapore/glossary/real-estate-auction/  (index: Real estate auction)",
term.research_research_research,"Research, research, research",Other,"Inspecting the property and comparing similar homes nearby is critical. Look for needed repairs and factor in renovation costs. Read all provided documentation on the property. Research the neighbourhood, schools, comps, and local market conditions. Know the property’s value inside and out.  Source: Real estate auction  https://www.99.co/singapore/glossary/real-estate-auction/  (index: Real estate auction)",
term.have_a_bidding_strategy,Have a bidding strategy,Legal&Docs,"Decide your initial bid, bidding increments, and top price beforehand. Absolute auctions require more flexibility. Open with a competitive bid, watch for rival bidders, and stick to your strategy. Slow the pace if needed. Use proxy bidding if available. Know when to walk away and don’t get caught up in bidding wars. Real estate auctions offer huge money-saving potential, but the fast pace requires careful prep and strategizing. By setting a budget, thoroughly researching, and employing smart bidding tactics, you can land prime properties at auction for below-market prices.  Source: Real estate auction  https://www.99.co/singapore/glossary/real-estate-auction/  (index: Real estate auction)",
term.a_credit_bureau,a Credit Bureau,Other,"Credit bureaus are government-approved agencies that collect, store, and compile information on your credit history. This includes loans, credit card applications, as well as repayment records. Although monitoring your financial situation is one use of a credit report, its main significance lies in how credit providers use it to evaluate your creditworthiness. When deciding whether to approve your application for credit, like a personal loan, the majority of lenders will examine your credit report.  Source: Credit Bureau Report  https://www.99.co/singapore/glossary/credit-bureau-report/  (index: Credit Bureau Report)",What is a Credit Bureau?|CB
term.a_credit_bureau_report,a Credit Bureau Report,Other,"The members of the credit bureau provide the financial history in credit bureau reports that can be obtained from public sources. A credit bureau report generally includes the following details: • Details of accounts owned by the individual as well as the account balance. • Payment history including date of last activity and credit limits on accounts. • Debt collections. • Bankruptcies (if any) – for the last 5 years from the date of discharge. The Bankruptcy Order will be annulled and your bankruptcy record will be erased right away if you are able to pay off all of your obligations. • Closed or terminated accounts (these are displayed for 3 years since the date of closing the account). While these are some of the most basic and important factors, some companies may also consider other factors while evaluating your credit application. What does your credit report matter? This is how your credit score is determined. It indicates how likely you are to pay back your debts. A good credit repayment history makes it easier for you to obtain loans and credit cards with approval in the future.  Source: Credit Bureau Report  https://www.99.co/singapore/glossary/credit-bureau-report/  (index: Credit Bureau Report)",What is a Credit Bureau Report?|CBR
term.factors_that_can_affect_your_credit_bureau_report,Factors that can affect your credit bureau report,Other,"It’s not surprising that you need a clean and impressive credit history to gain approval for loans or other credit. It’s good to plan, as financial missteps can have unwanted repercussions and spoil your chances of availing of loans from banks, credit facilities, and other financial institutions. You might even have to pay higher interest rates if your report isn’t very impressive and stable. So, keep an eye out for the factors that can impact your credit report, including; How can I get a copy of my credit report?  Source: Credit Bureau Report  https://www.99.co/singapore/glossary/credit-bureau-report/  (index: Credit Bureau Report)",
term.how_to_request_corrections_in_a_credit_bureau_report,How to request corrections in a credit bureau report,Other,"If you disagree with some information in your credit report, you can write to the credit bureau about it along with relevant data to back your claim. The bureau will then announce that the data in your report is being disputed and currently being investigated. If some amendments are made to the report, the bureau will share the report again with all the banks inquiring about you in the last three months.  Source: Credit Bureau Report  https://www.99.co/singapore/glossary/credit-bureau-report/  (index: Credit Bureau Report)",
term.definition_of_a_home_lien,definition of a home lien,Other,"A home lien represents a lender’s legal entitlement to a property if the borrower cannot fulfil their debt obligations. In the case of most mortgages, lenders establish a lien on the property once the borrower accepts and signs the offer letter. This gives the lender a right to the house if the homeowner cannot repay the loan and defaults. In other words, the property serves as collateral for a secured loan.  Source: Lien – home lien definition  https://www.99.co/singapore/glossary/lien-home-lien-definition/  (index: Lien – home lien definition)",What is the definition of a home lien?
term.can_i_sell_a_property_with_a_home_lien,Can I sell a property with a home lien,Other,"Liens impose restrictions on a property owner’s actions with their asset, as creditors hold a claim on the property to recover their debts. A homeowner attempting to sell a property before a lien is released can create complications, especially if the lien is involuntary. However, once the homeowner fulfils their outstanding financial obligations, the lien will be lifted, enabling the owner to sell or refinance the home more easily.  Source: Lien – home lien definition  https://www.99.co/singapore/glossary/lien-home-lien-definition/  (index: Lien – home lien definition)",
term.how_do_i_remove_a_home_lien,How do I remove a home lien,Legal&Docs,"The most straightforward way to eliminate a lien is by settling the outstanding debt by paying it in full or reaching an agreement on a payment plan. Liens are claims on assets that arise in the event of default, and once all financial obligations have been met, the liens can be removed.  Source: Lien – home lien definition  https://www.99.co/singapore/glossary/lien-home-lien-definition/  (index: Lien – home lien definition)",
term.types_of_home_liens,types of home liens,Other,Here are the specific categories of home liens:  Source: Lien – home lien definition  https://www.99.co/singapore/glossary/lien-home-lien-definition/  (index: Lien – home lien definition),What are the types of home liens?
term.understanding_ssb_a_safe_and_flexible_investment,Understanding SSB: A safe and flexible investment,Other,"Considered one of the popular choices among Singaporeans looking for low-risk investment options, Singapore Savings Bonds (SSB) provides a virtually risk-free way to grow your savings over time. In addition to that, they are also backed by the Singapore Government’s AAA credit rating. Let’s take a closer look at why SSB might be the right choice for you.  Source: Singapore Savings Bonds (SSB)  https://www.99.co/singapore/glossary/singapore-savings-bonds-ssb/  (index: Singapore Savings Bonds (SSB))",SSB
term.key_features_of_ssb,Key features of SSB,Other,"• Accessibility: SSBs are accessible to a wide range of investors. Minimum investment: $500. Maximum investment cap: $200,000 per individual. • SSBs are accessible to a wide range of investors. • Minimum investment: $500. • Maximum investment cap: $200,000 per individual. • Step-up interest rate structure: Interest rates increase the longer you hold the bond. Beneficial for long-term savers. Example: The August 2024 issue offers an average return of 3.22% annually over ten years. • Interest rates increase the longer you hold the bond. • Beneficial for long-term savers. • Example: The August 2024 issue offers an average return of 3.22% annually over ten years. • Liquidity: SSBs can be redeemed at any time without penalties. Only a $2 transaction fee is required for redemption. Provides flexibility for those needing quick access to their funds. • SSBs can be redeemed at any time without penalties. • Only a $2 transaction fee is required for redemption. • Provides flexibility for those needing quick access to their funds.  Source: Singapore Savings Bonds (SSB)  https://www.99.co/singapore/glossary/singapore-savings-bonds-ssb/  (index: Singapore Savings Bonds (SSB))",SSB
term.should_you_consider_ssb,Should you consider SSB,Other,"SSBs are attractive for individuals searching for a secure and foreseeable investment avenue. With the guarantee of no capital loss, SSBs safeguard the initial investment, making them an optimal choice for risk-averse investors. Moreover, SSBs can effectively function as a valuable tool for diversifying one’s investment portfolio, providing stability in contrast to more volatile assets. SSBs offer a compelling combination of safety, flexibility, and steady returns. Whether you want to balance your portfolio or a secure place to grow your savings, SSBs provide a reliable investment option. To take advantage of these benefits, you can add SSBs to your financial strategy today.  Source: Singapore Savings Bonds (SSB)  https://www.99.co/singapore/glossary/singapore-savings-bonds-ssb/  (index: Singapore Savings Bonds (SSB))",SSB
term.eager_to_learn_more_check_out_our_glossary_and_jargon_pages,Eager to learn more? Check out our Glossary and Jargon pages!,Other,Source: Singapore Savings Bonds (SSB)  https://www.99.co/singapore/glossary/singapore-savings-bonds-ssb/  (index: Singapore Savings Bonds (SSB)),ECGJ
term.sora_interest_rate_benchmark,SORA interest rate benchmark,Finance&Rates,Source: SORA interest rate benchmark  https://www.99.co/singapore/glossary/sora-interest-rate-benchmark/  (index: SORA interest rate benchmark),SORA
term.what_is_the_sora_interest_rate_benchmark,What is the SORA interest rate benchmark?,Finance&Rates,"Similar to Singapore Interbank Offered Rate (SIBOR) and the Singapore Dollar Swap Offer Rate (SOR), the Singapore Overnight Rate Average (SORA) is also used as a reference rate for interest rates in Singapore. Banks use these rates to determine the sorts of floating-rate home loans they provide. The Monetary Authority of Singapore (MAS) has been managing the volume-weighted average borrowing rate (SORA) since 2005. SORA can be found in Singapore’s unsecured overnight interbank cash market between 8.00 am and 6.15 pm and is calculated using transaction data.  Source: SORA interest rate benchmark  https://www.99.co/singapore/glossary/sora-interest-rate-benchmark/  (index: SORA interest rate benchmark)",What is the SORA interest rate benchmark?|SORA
term.what_s_the_difference_sora_vs_sibor_sor,What’s the difference – SORA vs SIBOR & SOR,Finance&Rates,"A backwards-looking interest rate benchmark is based on past transactions, and SORA is an example of this. SORA measures actual bank-to-bank transactions that occurred in Singapore between 8 am and 6:15 pm. Unlike SIBOR or SOR, which are forward-looking and based on future transactions, SORA is based on overnight transactions that have already occurred. If you opt for a home loan with an interest rate linked to any of these interest rate benchmarks that change daily, your loan repayments will also fluctuate. To achieve greater consistency in your loan repayments, you can select a loan package where the interest rate “refreshes” less often, for example, once every three months.  Source: SORA interest rate benchmark  https://www.99.co/singapore/glossary/sora-interest-rate-benchmark/  (index: SORA interest rate benchmark)",SORA
term.how_would_sora_interest_rates_affect_me,How would SORA interest rates affect me,Finance&Rates,"If you’re in the market for a mortgage, whether for a new home purchase or to refinance your existing one, you will likely consider both fixed and floating rate options. Currently, most floating-rate mortgages are connected to SIBOR, but this will be phased out by 2024. As a result, banks are starting to issue more home loans that are linked to SORA to replace the older SIBOR-based loans that were previously available to homebuyers. This means that even if you currently have a mortgage tied to SIBOR or SOR, you will eventually switch to a SORA-based mortgage when your loan term is up, or you can switch to a fixed-rate mortgage.  Source: SORA interest rate benchmark  https://www.99.co/singapore/glossary/sora-interest-rate-benchmark/  (index: SORA interest rate benchmark)",SORA
term.current_sora_rates,current SORA rates,Finance&Rates,Source: SORA interest rate benchmark  https://www.99.co/singapore/glossary/sora-interest-rate-benchmark/  (index: SORA interest rate benchmark),What are the current SORA rates?|SORA
term.what_factors_affect_sora_rates,What factors affect SORA rates,Finance&Rates,"SORA rates are influenced by several factors, including; • The volume of eligible transactions (which must have a minimum value of $1 million and come from at least five reporting banks). • Singapore’s economic outlook (whether it is experiencing a boom or bust) plays a role in determining the SORA rates. • The credit quality of the reporting banks is also considered, with a higher borrowing rate indicating a weaker credit rating. All of these factors are based on the previous day’s transactions.  Source: SORA interest rate benchmark  https://www.99.co/singapore/glossary/sora-interest-rate-benchmark/  (index: SORA interest rate benchmark)",SORA
term.an_option_to_purchase_otp,an Option to Purchase (OTP),Legal&Docs,"An Option to Purchase (OTP) is a contractual arrangement in the real estate industry where the buyer and the seller (or developer) agree to sell a residential property. To secure the property, the buyer is required to pay an option fee upon signing the OTP agreement. The option fee is forfeited if the buyer chooses not to proceed with the purchase before the option expires.  Source: Option to Purchase (OTP)  https://www.99.co/singapore/glossary/option-to-purchase-otp/  (index: Option to Purchase (OTP))",What is an Option to Purchase (OTP)?|an Option to Purchase|OTP|OP
term.option_to_purchase_otp_for_private_property_vs_hdb_what_s_the_difference,Option to Purchase (OTP) for private property vs HDB – What’s the difference,HDB,"The OTP process differs between private property and HDB resale flats. • For private properties, the OTP agreement is typically drafted by the seller’s lawyer and signed by both the buyer and seller after agreeing on the purchase price. The option fee for private properties is usually 1% of the purchase price, which can be negotiated between the buyer and seller. The option period for these properties is generally 14 days, but this can be extended up to two months if agreed upon by both parties. • On the other hand, for HDB resale flats, buyers must use HDB’s prescribed OTP form. The seller must grant the OTP at least 7 days after registering their intent to sell on the HDB Resale Portal. The option fee for HDB flats cannot exceed S$1,000 and is paid by the buyer. The option period is fixed at 21 calendar days.  Source: Option to Purchase (OTP)  https://www.99.co/singapore/glossary/option-to-purchase-otp/  (index: Option to Purchase (OTP))",OTP|OPW
term.what_happens_when_i_want_to_exercise_my_option_to_purchase_otp,What happens when I want to exercise my Option to Purchase (OTP),HDB,"To exercise the OTP, the buyer must do so within the option period. For private properties, the exercise price is usually 4% of the sales price and the option fee (1%), making up the balance deposit of 5%. In the case of HDB flats, the balance deposit cannot be more than S$5,000, including the option fee paid (S$1,000). After exercising the OTP, the buyer must purchase the property and cannot withdraw from the transaction.  Source: Option to Purchase (OTP)  https://www.99.co/singapore/glossary/option-to-purchase-otp/  (index: Option to Purchase (OTP))",What happens when I want to exercise my Option to Purchase|OTP|WOP
term.can_i_issue_more_than_one_option_to_purchase_otp,Can I issue more than one Option to Purchase (OTP),Legal&Docs,"As a seller, you cannot issue more than one OTP to different buyers as it would obligate you to sell the property to the buyer who exercises the OTP at an agreed-upon price. However, as a buyer, you can secure multiple OTPs without intending to exercise them all since an option only grants you the right, but not the obligation, to buy the property. Information provided was accurate at the time of publication. For latest changes and updates, head over to official websites.  Source: Option to Purchase (OTP)  https://www.99.co/singapore/glossary/option-to-purchase-otp/  (index: Option to Purchase (OTP))",Can I issue more than one Option to Purchase|OTP|COP
term.a_housing_cooperative,a housing cooperative,Other,"A housing cooperative, or co-op, is a multi-unit residential building owned by a corporation. Instead of buying a unit, shareholders purchase shares in the corporation and acquire the right to occupy a specific unit. The corporation owns the building itself and is responsible for its upkeep and maintenance. Shareholders pay a monthly fee to cover these costs. Co-op residents elect a board of directors to oversee building operations and make decisions on behalf of shareholders. The board sets policies, approves new buyers, and handles issues that arise within the building. Each shareholder gets one vote in board elections and other important decisions.  Source: Cooperative housing  https://www.99.co/singapore/glossary/cooperative-housing/  (index: Cooperative housing)",What is a housing cooperative?
